problem_id,id__status,id__elapsed_ms,naive__status,naive__elapsed_ms
ALG211+1,timeout,111,timeout,110
BOO109+1,timeout,110,timeout,112
COM007+1,timeout,110,timeout,108
GRA014+1,timeout,108,timeout,109
GRP001+6,timeout,109,timeout,108
GRP012+5,timeout,107,timeout,107
KRS130+1,provable,25,timeout,105
KRS131+1,timeout,109,timeout,106
KRS134+1,provable,12,timeout,103
KRS135+1,provable,12,timeout,105
KRS136+1,provable,13,provable,3
KRS137+1,provable,16,provable,81
KRS139+1,provable,15,timeout,104
KRS141+1,provable,13,timeout,103
KRS164+1,provable,16,provable,88
KRS165+1,provable,10,provable,37
KRS166+1,provable,9,timeout,102
KRS168+1,provable,9,provable,3
KRS169+1,provable,21,timeout,105
KRS170+1,provable,23,timeout,104
KRS171+1,provable,31,timeout,105
LCL028+1,timeout,109,timeout,114
LCL028+2,timeout,111,timeout,115
LCL061+1,timeout,111,timeout,117
LCL061+2,timeout,108,timeout,111
LCL062+1,timeout,110,timeout,109
LCL062+2,timeout,108,timeout,119
LCL063+1,timeout,111,timeout,107
LCL063+2,timeout,109,timeout,110
LCL073+1,timeout,109,timeout,119
LCL109+1,timeout,113,timeout,116
LCL109+2,timeout,109,timeout,113
LCL181+1,provable,7,provable,2
LCL230+1,provable,8,provable,2
LCL365+1,timeout,110,timeout,110
LCL365+2,timeout,109,timeout,116
LCL368+1,timeout,110,timeout,119
LCL368+2,timeout,110,timeout,116
LCL369+1,timeout,113,timeout,118
LCL369+2,timeout,110,timeout,117
LCL370+1,timeout,110,timeout,111
LCL370+2,timeout,111,timeout,113
LCL371+1,timeout,109,timeout,113
LCL371+2,timeout,111,timeout,118
LCL372+1,timeout,109,timeout,115
LCL372+2,timeout,111,timeout,120
LCL373+1,timeout,110,timeout,115
LCL373+2,timeout,109,timeout,108
LCL374+1,timeout,109,timeout,119
LCL374+2,timeout,111,timeout,114
LCL375+1,timeout,109,timeout,120
LCL375+2,timeout,111,timeout,113
LCL376+1,timeout,109,timeout,111
LCL376+2,timeout,110,timeout,116
LCL377+1,timeout,109,timeout,116
LCL377+2,timeout,110,timeout,118
LCL382+1,timeout,111,timeout,115
LCL382+2,timeout,110,timeout,117
LCL383+1,timeout,110,timeout,113
LCL383+2,timeout,110,timeout,123
LCL384+1,timeout,110,timeout,108
LCL384+2,timeout,110,timeout,116
LCL390+1,timeout,109,timeout,109
LCL390+2,timeout,110,timeout,122
LCL391+1,timeout,111,timeout,107
LCL391+2,timeout,108,timeout,121
LCL392+1,timeout,111,timeout,118
LCL392+2,timeout,108,timeout,124
LCL393+1,timeout,110,timeout,109
LCL393+2,timeout,110,timeout,119
LCL394+1,timeout,118,timeout,107
LCL394+2,timeout,107,timeout,110
LCL395+1,timeout,111,timeout,110
LCL395+2,timeout,108,timeout,116
LCL403+1,timeout,112,timeout,108
LCL403+2,timeout,109,timeout,111
LCL414+1,timeout,111,timeout,113
LCL419+1,timeout,112,timeout,117
LCL419+2,timeout,109,timeout,108
LCL420+1,timeout,112,timeout,127
LCL420+2,timeout,108,timeout,114
LCL421+1,timeout,114,timeout,115
LCL421+2,timeout,107,timeout,118
LCL422+1,timeout,112,timeout,119
LCL422+2,timeout,109,timeout,125
LCL646+1.001,provable,48,provable,3
LCL648+1.001,provable,9,provable,2
LCL662+1.001,provable,5,provable,1
LCL664+1.001,provable,54,provable,3
LCL666+1.001,provable,10,provable,3
LCL678+1.001,timeout,108,timeout,111
LCL680+1.001,provable,5,provable,1
LCL682+1.001,timeout,109,timeout,111
LCL684+1.001,timeout,108,timeout,110
LCL686+1.001,timeout,110,timeout,107
LCL876+1,timeout,111,timeout,120
LCL978+1,timeout,108,timeout,119
LCL979+1,timeout,109,timeout,108
LCL980+1,timeout,109,timeout,115
LCL981+1,timeout,110,timeout,108
LCL982+1,timeout,110,timeout,109
LCL983+1,timeout,108,timeout,113
MGT022+1,timeout,111,timeout,113
MGT022+2,timeout,110,timeout,114
MGT028+1,timeout,109,timeout,108
MGT030+1,provable,71,timeout,109
MGT032+2,timeout,110,timeout,107
MGT036+1,timeout,109,timeout,111
MGT036+2,timeout,109,timeout,110
MGT036+3,timeout,108,timeout,114
MGT041+2,timeout,110,timeout,106
MSC011+1,provable,11,provable,2
MSC012+1,timeout,107,timeout,106
PHI014+1,timeout,110,timeout,108
PUZ060+1,timeout,108,timeout,107
PUZ061+1,timeout,109,timeout,104
PUZ128+1,timeout,109,timeout,106
SET009+3,timeout,109,timeout,117
SET027+3,timeout,111,timeout,110
SET043+1,provable,6,provable,1
SET044+1,provable,84,timeout,107
SET045+1,provable,87,timeout,107
SET046+1,provable,10,provable,31
SET047+1,timeout,108,timeout,109
SET062+3,timeout,110,timeout,109
SET573+3,timeout,108,timeout,110
SET574+3,timeout,110,timeout,110
SET575+3,provable,54,timeout,114
SET576+3,timeout,111,timeout,109
SET588+3,timeout,110,timeout,109
SET589+3,timeout,110,timeout,110
SET590+3,timeout,110,timeout,121
SET625+3,timeout,107,timeout,111
SET627+3,timeout,107,timeout,110
SET631+3,timeout,109,timeout,112
SET786+1,provable,10,provable,40
SET788+1,timeout,108,timeout,111
SET899+1,provable,8,provable,3
SET913+1,provable,9,provable,3
SET915+1,provable,9,provable,2
SEU158+1,provable,10,provable,3
SEU158+3,provable,9,provable,2
SEU163+1,provable,10,provable,3
SEU163+3,provable,8,provable,2
SEU167+1,timeout,107,timeout,108
SEU167+3,timeout,107,timeout,108
SEU275+1,timeout,111,timeout,106
SWB001+2,provable,9,provable,2
SWB002+2,provable,13,timeout,106
SWB003+2,provable,6,provable,1
SWB005+2,timeout,111,timeout,104
SWB009+2,timeout,108,timeout,108
SWB014+2,timeout,109,timeout,108
SWB024+2,timeout,111,timeout,117
SWB032+2,timeout,109,timeout,108
SWV011+1,provable,30,timeout,102
SYN001+1,provable,6,provable,1
SYN036+1,unknown,10,unknown,1
SYN036+2,unknown,9,unknown,2
SYN040+1,provable,7,provable,1
SYN041+1,provable,6,provable,1
SYN044+1,provable,10,provable,2
SYN045+1,provable,10,provable,2
SYN046+1,provable,7,provable,1
SYN047+1,provable,9,provable,2
SYN048+1,provable,6,provable,1
SYN049+1,provable,7,provable,1
SYN050+1,timeout,111,timeout,114
SYN051+1,provable,12,provable,2
SYN052+1,provable,7,provable,2
SYN053+1,provable,6,provable,1
SYN054+1,provable,28,timeout,103
SYN056+1,timeout,109,timeout,106
SYN057+1,timeout,109,provable,48
SYN058+1,provable,10,timeout,104
SYN059+1,provable,24,timeout,106
SYN060+1,provable,11,provable,3
SYN061+1,provable,17,provable,5
SYN062+1,provable,14,provable,39
SYN063+1,provable,12,provable,3
SYN064+1,provable,7,timeout,107
SYN065+1,timeout,110,timeout,105
SYN066+1,timeout,109,timeout,113
SYN067+1,timeout,111,timeout,106
SYN068+1,provable,49,timeout,106
SYN070+1,timeout,110,timeout,106
SYN073+1,provable,9,timeout,104
SYN079+1,timeout,108,timeout,105
SYN081+1,provable,17,timeout,102
SYN082+1,provable,7,provable,2
SYN084+1,provable,14,timeout,113
SYN315+1,provable,10,provable,2
SYN317+1,provable,10,timeout,105
SYN318+1,provable,18,provable,9
SYN319+1,timeout,109,timeout,113
SYN321+1,provable,21,timeout,108
SYN323+1,provable,14,provable,3
SYN325+1,provable,11,provable,2
SYN326+1,timeout,110,timeout,104
SYN327+1,provable,14,provable,3
SYN328+1,timeout,108,timeout,104
SYN331+1,timeout,111,timeout,108
SYN333+1,timeout,112,timeout,109
SYN334+1,timeout,114,timeout,109
SYN336+1,provable,76,provable,3
SYN338+1,provable,26,timeout,116
SYN339+1,provable,16,timeout,110
SYN340+1,timeout,107,timeout,109
SYN341+1,provable,49,timeout,108
SYN343+1,provable,47,timeout,105
SYN345+1,timeout,108,timeout,114
SYN346+1,provable,20,timeout,107
