problem_id,engine,elapsed_ms
easy_1,naive,1
easy_4,naive,10
easy_11,naive,0
easy_5,naive,1
easy_12,naive,0
easy_13,naive,0
easy_6,naive,3
easy_14,naive,0
easy_7,naive,2
easy_15,naive,0
easy_8,naive,51
easy_9,naive,715
medium_2,naive,45
easy_2,naive,3
easy_3,naive,2
easy_30,naive,1
easy_28,naive,0
medium_27,naive,3
medium_3,naive,63
medium_1,naive,59
medium_13,naive,34
medium_14,naive,823
medium_4,naive,82
medium_49,naive,0
medium_51,naive,0
medium_5,naive,860
easy_1,id,2
easy_11,id,1
easy_12,id,0
easy_13,id,1
easy_14,id,0
easy_15,id,1
easy_4,id,5
easy_5,id,5
easy_6,id,14
easy_7,id,3
easy_8,id,17
easy_9,id,78
medium_2,id,84
easy_2,id,5
easy_3,id,3
easy_30,id,1
easy_28,id,1
medium_3,id,154
medium_49,id,1
medium_27,id,4
medium_5,id,133
medium_51,id,1
medium_1,id,72
medium_13,id,25
medium_14,id,69
medium_4,id,215
easy_1,priority-id,2
easy_11,priority-id,0
easy_12,priority-id,1
easy_13,priority-id,2
easy_14,priority-id,1
easy_15,priority-id,1
medium_3,priority-id,93
medium_2,priority-id,58
easy_2,priority-id,2
medium_1,priority-id,40
medium_13,priority-id,11
medium_14,priority-id,27
easy_28,priority-id,1
easy_3,priority-id,3
easy_30,priority-id,0
medium_49,priority-id,2
medium_27,priority-id,2
easy_4,priority-id,5
medium_5,priority-id,83
easy_5,priority-id,4
medium_51,priority-id,0
easy_6,priority-id,7
easy_7,priority-id,5
easy_8,priority-id,10
easy_9,priority-id,22
medium_4,priority-id,152
