problem_id,engine,elapsed_ms
validation__325__entails,naive,28
validation__325__refutes,naive,74
validation__360__entails,naive,11
validation__147__entails,naive,33
validation__147__refutes,naive,10
validation__148__entails,naive,10
validation__148__refutes,naive,10
validation__149__entails,naive,11
validation__149__refutes,naive,11
validation__1272__refutes,naive,15
validation__1273__entails,naive,15
validation__243__entails,naive,548
validation__1__refutes,naive,11
validation__240__entails,naive,72
validation__289__entails,naive,18
validation__289__refutes,naive,88
validation__290__entails,naive,49
validation__290__refutes,naive,44
validation__291__entails,naive,23
validation__291__refutes,naive,45
validation__307__entails,naive,58
validation__307__refutes,naive,96
validation__578__entails,naive,35
validation__1245__entails,naive,53
validation__1245__refutes,naive,40
validation__1247__entails,naive,24
validation__1247__refutes,naive,34
validation__1244__entails,naive,22
validation__1244__refutes,naive,25
validation__323__entails,naive,42
validation__323__refutes,naive,51
validation__324__entails,naive,72
validation__324__refutes,naive,34
validation__1269__entails,naive,115
validation__610__entails,naive,97
validation__724__refutes,naive,64
validation__726__entails,naive,117
validation__618__entails,naive,21
validation__739__refutes,naive,60
validation__618__refutes,naive,68
validation__619__refutes,naive,53
validation__619__entails,naive,50
validation__809__refutes,naive,291
validation__934__refutes,naive,161
validation__935__entails,naive,144
validation__325__entails,id,4
validation__325__refutes,id,10
validation__360__entails,id,66
validation__147__entails,id,1
validation__147__refutes,id,0
validation__148__entails,id,0
validation__148__refutes,id,0
validation__1272__refutes,id,61
validation__149__entails,id,0
validation__1273__entails,id,42
validation__149__refutes,id,0
validation__243__entails,id,10
validation__1__refutes,id,5
validation__240__entails,id,2
validation__289__entails,id,4
validation__289__refutes,id,8
validation__290__entails,id,0
validation__290__refutes,id,1
validation__291__entails,id,23
validation__291__refutes,id,15
validation__578__entails,id,6
validation__1245__entails,id,8
validation__1245__refutes,id,9
validation__1247__entails,id,6
validation__1247__refutes,id,8
validation__307__entails,id,37
validation__323__entails,id,1
validation__323__refutes,id,9
validation__307__refutes,id,176
validation__324__entails,id,13
validation__1244__entails,id,10
validation__324__refutes,id,20
validation__1244__refutes,id,22
validation__1269__entails,id,685
validation__610__entails,id,42
validation__618__refutes,id,115
validation__619__refutes,id,24
validation__619__entails,id,15
validation__618__entails,id,5
validation__934__refutes,id,213
validation__935__entails,id,306
validation__724__refutes,id,67
validation__726__entails,id,6
validation__809__refutes,id,220
validation__739__refutes,id,79
validation__325__entails,priority-id,7
validation__325__refutes,priority-id,2
validation__360__entails,priority-id,4
validation__724__refutes,priority-id,4
validation__726__entails,priority-id,1
validation__739__refutes,priority-id,1
validation__809__refutes,priority-id,258
validation__934__refutes,priority-id,80
validation__935__entails,priority-id,237
validation__1272__refutes,priority-id,65
validation__1273__entails,priority-id,67
validation__578__entails,priority-id,7
validation__147__entails,priority-id,1
validation__147__refutes,priority-id,1
validation__148__entails,priority-id,1
validation__148__refutes,priority-id,17
validation__149__entails,priority-id,9
validation__149__refutes,priority-id,9
validation__243__entails,priority-id,142
validation__1__refutes,priority-id,1
validation__1244__entails,priority-id,9
validation__240__entails,priority-id,6
validation__1244__refutes,priority-id,9
validation__1245__entails,priority-id,28
validation__1245__refutes,priority-id,13
validation__1247__entails,priority-id,6
validation__1247__refutes,priority-id,26
validation__610__entails,priority-id,95
validation__618__refutes,priority-id,65
validation__619__entails,priority-id,30
validation__619__refutes,priority-id,42
validation__618__entails,priority-id,5
validation__1269__entails,priority-id,237
validation__289__entails,priority-id,11
validation__289__refutes,priority-id,36
validation__290__entails,priority-id,7
validation__290__refutes,priority-id,2
validation__291__entails,priority-id,12
validation__291__refutes,priority-id,52
validation__307__entails,priority-id,47
validation__307__refutes,priority-id,141
validation__323__entails,priority-id,5
validation__323__refutes,priority-id,3
validation__324__entails,priority-id,6
validation__324__refutes,priority-id,16
